note,key,composer,symphony
D,minor,George Frederick Bristow,"Symphony No. 2, Op. 24 """"Jullien"""" (apparently written by 1854, premiered in 1856)"
D,minor,Anton Bruckner,"Symphony No. 0 """"Die Nullte"""" (1860s)"
D,minor,Anton Bruckner,Symphony No. 3 (1873)
D,minor,Anton Bruckner,"Symphony No. 9 (1896, inc.)"
D,minor,Fritz Brun,Symphony No. 3
D,minor,Oscar Byström,"Symphony (1870–72, rev. 1895)"
D,minor,Christian Cannabich,Symphony No. 50 (1772?)
D,minor,Albert Dietrich,"Symphony, Op. 20 (completed February 1870 at latest, dedicated to Johannes Brahms)"
D,minor,Ernő Dohnányi,"Symphony No. 1, Op. 9 (1900-1)"
D,minor,Antonín Dvořák,"Symphony No. 4, Op. 13, B. 41 (1874)"
D,minor,Antonín Dvořák,"Symphony No. 7, Op. 70, B. 141 (1885)"
D,minor,John Lodge Ellerton,"Symphony No. 3 """"Wald-Symphonie"""", Op. 120 (about 1857)"
D,minor,Pietro Floridia,Symphony (1888)
D,minor,Josef Bohuslav Foerster,"Symphony No. 1, Op. 9 (1887)"
D,minor,Josef Bohuslav Foerster,"Symphony No. 5, Op. 141 (1929)"
D,minor,César Franck,Symphony in D minor
D,minor,Niels Gade,"Symphony No. 5 , Op. 25 (1852)"
D,minor,John Gardner,"Symphony No. 1, Op. 12 (1946–7)"
D,minor,Jan van Gilse,"Symphony No. 3 """"Elevation""""  (1906-7)"
D,minor,Alexander Glazunov,Symphony No. 9 (begun in 1910 but left unfinished by Glazunov's death in 1936. First movement orchestrated by Gavril Yudin in 1947)
D,minor,Mikhail Glinka,"Symphony in D minor """"On Two Russian Themes"""" (1833/1937) left unfinished and completed by Vissarion Shebalin"
D,minor,Théodore Gouvy,"Symphony No. 4 , Op. 25. (1855)"
D,minor,Paul Graener,"Symphony, Op. 39 (published 1912)"
D,minor,Henry Kimball Hadley,"Symphony No. 4, Op. 64 (1911)"
D,minor,Johan Halvorsen,"Symphony No. 2  """"Fate"""" (rev. 1928)"
D,minor,Joseph Haydn,"Symphony No. 26 """"Lamentatione"""" (1766)"
D,minor,Joseph Haydn,Symphony No. 34 (1767)
D,minor,Joseph Haydn,Symphony No. 80 (1783–4)
D,minor,Michael Haydn,"Symphony No. 29, MH 393, Perger 20 (1784)"
D,minor,Hans Huber,"Symphony No. 1 """"Tell-Symphonie"""" Op. 63 (1880-1)"
D,minor,Hans Huber,"Symphony No. 7 """"Swiss"""" (premiered September 1917)"
D,minor,Jānis Ivanovs,Symphony No. 2 (1935)
D,minor,Charles Ives,Symphony No. 1 (1898-1902)
D,minor,Jan Kalivoda,"Symphony No. 3, Op. 32 (premiered 1830)"
D,minor,Manolis Kalomiris,Symphony No. 3 (1955)
D,minor,Hugo Kaun,"Symphony No. 1, Op. 22 (1895), An mein Vaterland. Dem Andenken meines Vaters"
D,minor,August Klughardt,"Symphony No. 1 """"Lenore"""", Op. 27 (1873)"
D,minor,Joseph Martin Kraus,"Sinfonia Da Chiesa, VB 147"
D,minor,Franz Lachner,"Symphony No. 3, Op. 41 (1833-4)"
D,minor,Franz Lachner,"Symphony No. 7, Op. 58 (1839)"
D,minor,László Lajtha,"Symphony No. 1, Op. 24 (1936)"
D,minor,Carl Loewe,Symphony in D minor
D,minor,Gustav Mahler,Symphony No. 3 (1895-6)
D,minor,Nina Makarova,"Symphony (1938, revised 1962)"
D,minor,Otto Malling,"Symphony, Op. 17 (by 1884)"
D,minor,Giuseppe Martucci,"Symphony No. 1 , Op. 75 (1888–95)"
D,minor,Felix Mendelssohn,"Symphony No. 5, Op. 107 Reformation (1832)"
D,minor,Frank Merrick,Symphony in D minor (1912)
D,minor,Ödön Mihalovich,Symphony (published about 1883.)
D,minor,Nikolai Myaskovsky,"Symphony No. 15 , Op. 38 (1933–4)"
D,minor,Ludvig Norman,"Symphony No. 3, Op. 58 (published 1885)"
D,minor,George Onslow,"Symphony No. 2, Op. 42"
D,minor,Fredrik Pacius,Symphony (1850)
D,minor,Gottfried von Preyer,"Symphony No. 1, Op. 16."
D,minor,Florence Price,Symphony No. 4 (1945)
D,minor,Sergei Prokofiev,"Symphony No. 2, Op. 40 (1925)"
D,minor,Sergei Rachmaninoff,"Symphony No. 1, Op. 13 (1896)"
D,minor,Joachim Raff,"Symphony No. 6, Op. 189 (1873)"
D,minor,Ture Rangström,"Symphony No. 2 """"Mitt land"""" (1919)"
D,minor,Ture Rangström,"Symphony No. 4 """"Invocation"""" for Organ and Orchestra (1936)"
D,minor,Napoléon Henri Reber,Symphony No. 1
D,minor,Emil von Reznicek,Symphony No. 1 Tragic (1901)
D,minor,Josef Rheinberger,"Symphony No. 1 """"Wallenstein"""", Op. 10 (premiered 1866)"
D,minor,Ferdinand Ries,"Symphony No. 5, Op. 112 (1813)"
D,minor,Henri-Joseph Rigel,"Symphony No. 10, Op. 21, No. 2"
D,minor,Albert Roussel,"Symphony No. 1 """"Le Poème de la forêt"""", Op. 7  (1904–6)"
D,minor,Anton Rubinstein,"Symphony No. 4  """"Dramatic"""", Op. 95 (1874)"
D,minor,Vadim Salmanov,Symphony No. 1 (1952)
D,minor,Adolphe Samuel,"Symphony No. 4, Op. 33 (1863)"
D,minor,Adolphe Samuel,"Symphony No. 6, Op. 44 (1891)"
D,minor,Philipp Scharwenka,"Symphony, Op. 96 (published 1895)"
D,minor,Martin Scherber,Symphony No. 1 (1938)
D,minor,Robert Schumann,"Symphony No. 4, Op. 120 (1841)"
D,minor,Johanna Senfter,"Symphony No. 2, Op. 27"
D,minor,Dmitri Shostakovich,"Symphony No. 5, Op. 47 (1937)"
D,minor,Dmitri Shostakovich,"Symphony No. 12, Op. 112 """"The Year 1917"""" (1961)"
D,minor,Jean Sibelius,"Symphony No. 6, Op. 104 (1918-23)"
D,minor,Christian Sinding,"Symphony No. 1, Op. 21  (1880–89)"
D,minor,Arthur Somervell,Symphony Thalassa
D,minor,Louis Spohr,"Symphony No. 2, Op. 49 (1820)"
D,minor,Charles Villiers Stanford,"Symphony No. 2 """"Elegiac""""(1880)"
D,minor,Charles Villiers Stanford,"Symphony No. 7, Op. 124 (1911)"
D,minor,Richard Strauss,"Symphony No. 1, AV 69 (1880)"
D,minor,Hermann Suter,"Symphony, Op. 17 (1914)"
D,minor,Sergei Taneyev,Symphony No. 3  (1884)
D,minor,Eduard Tubin,"Symphony No. 3 """"Heroic"""" (1940–2, revised 1968)"
D,minor,Johann Baptist Wanhal,"Symphony, Bryan d1 (by 1773)."
D,minor,Johann Baptist Wanhal,"Symphony, Bryan d2 (with five horn parts)"
D,minor,Ralph Vaughan Williams,Symphony No. 8 (1955)
D,minor,Louis Vierne,Organ Symphony No. 1 
D,minor,Robert Volkmann,"Symphony No. 1, Op. 44 (published 1863)"
D,minor,Karl Weigl,Symphony No. 2 (1922)
D,minor,Johann Wilhelm Wilms,"Symphony No. 6, Op. 58"
D,minor,Richard Wüerst,"Symphony, Op. 54 (published in 1869)"
D,minor,Alexander von Zemlinsky,Symphony No. 1 (1892)
E-flat,major,Carl Friedrich Abel,Symphony Op. 1 No. 4/WK (Walter Knape) 4
E-flat,major,Carl Friedrich Abel,Symphony Op. 4 No. 3/WK 9
E-flat,major,Carl Friedrich Abel,"Symphony Op. 7 No. 6/WK 18 (once mistakenly attributed to Mozart as his Symphony No. 3, K 18)"
E-flat,major,Carl Friedrich Abel,Symphony Op. 10 No. 3/WK 21
E-flat,major,Carl Friedrich Abel,Symphony Op. 14 No. 2/WK 26
E-flat,major,Carl Friedrich Abel,Symphony Op. 14 No. 6/WK 30
E-flat,major,Carl Friedrich Abel,Symphony Op. 17 No. 1/WK 31
E-flat,major,Carl Friedrich Abel,WK 39 (no opus number)
E-flat,major,Carl Philipp Emanuel Bach,Symphony Wq.179 / H654 (1757)
E-flat,major,Carl Philipp Emanuel Bach,Symphony Wq.183:2 / H664 (1775-6) (pour 12 instruments obligés)
E-flat,major,Johann Christian Bach,"Symphony, Op. 6 No. 2"
E-flat,major,Johann Christoph Friedrich Bach,Symphony (Wf I:10/BR C14)
E-flat,major,Carlos Baguer,"At least three symphonies, Nos. 12, 13 and 15 (by 1808, composer's death)"
E-flat,major,Béla Bartók,"Symphony (1902, unfinished)"
E-flat,major,Arnold Bax,"Symphony No. 4 in E-flat (1931, Parlett No. 307)"
E-flat,major,Franz Ignaz Beck,"Symphony No. 4 (Op. 3, Callen 16)"
E-flat,major,Ludwig van Beethoven,"Symphony No. 3, Op. 55 """"Eroica"""" (1803-4)"
E-flat,major,Ludwig van Beethoven,"Symphony No. 10 (sketched between 1824 and 1827, first movement completed by Barry Cooper in 1988)"
E-flat,major,Jiří Antonín Benda,"Symphony """"No. 6"""" (by c.1760)"
E-flat,major,William Sterndale Bennett,Symphony No. 1 (1832)
E-flat,major,Franz Berwald,"Symphony No. 4 (sometimes called """"Naïve"""") (1845, first published 1911)"
E-flat,major,Luigi Boccherini,"Symphony in E-flat major, Op. 21/2, G. 494 (1775)"
E-flat,major,Luigi Boccherini,"Symphony No. 2 in E-flat major, Op. 12/2, G. 504 (1771)"
E-flat,major,Luigi Boccherini,"Symphony No. 8 in E-flat major, Op. 35/2, G. 510 (1782)"
E-flat,major,Luigi Boccherini,"Symphony No. 11 in E-flat major, Op. 35/5, G. 513 (1787)"
E-flat,major,Alexander Borodin,Symphony No. 1  (1862-7)
E-flat,major,Sergei Bortkiewicz,"Symphony No. 2, Op. 55 (1947)"
E-flat,major,Johann Evangelist Brandl,"Symphony, Op. 12 (1792)"
E-flat,major,Havergal Brian,Symphony No. 21  (1962)
E-flat,major,Havergal Brian,Symphony No. 29  (1967)
E-flat,major,Antonio Brioschi,"Three sinfonie: w/o opus (1735), Op. 5 and Op. 6 (1740s)"
E-flat,major,Max Bruch,"Symphony No. 1 , Op. 28 (first performed in 1868)"
E-flat,major,Anton Bruckner,"Symphony No. 4 """"Romantic"""" (1874)"
E-flat,major,Fritz Brun,Symphony No. 5 (1929)
E-flat,major,Antonio Casimir Cartellieri,Symphony No. 2 (after 1795)
E-flat,major,Antonio Casimir Cartellieri,Symphony No. 4 (after 1795)
E-flat,major,Christian Cannabich,Symphony No. 54
E-flat,major,Christian Cannabich,Symphony No. 57
E-flat,major,Wojciech Dankowski ,Symphony (around 1788)
E-flat,major,Franz Danzi,"Symphony, P.219 (before 1826)"
E-flat,major,Félicien-César David,Symphony (1846)
E-flat,major,Georg Druschetzky,Symphony in E-flat major
E-flat,major,Franz Xaver Dussek,Symphony (before c.1778)
E-flat,major,Antonín Dvořák,"Symphony No. 3, Op. 10, B. 34 (1873)"
E-flat,major,Anton Eberl,Symphony Op. 33 (1803)
E-flat,major,Joachim Nicolas Eggert,Symphony (1807)
E-flat,major,Edward Elgar,"Symphony No. 2, Op. 63 (1909–11)"
E-flat,major,George Enescu,Symphony No. 1 (1905)
E-flat,major,Frederic Ernest Fesca,"Symphony No. 1, Op. 6 (1812)"
E-flat,major,François-Joseph Fétis,Symphony No. 1 (1862)
E-flat,major,Zdeněk Fibich,"Symphony No. 2 , Op. 38 (1893)"
E-flat,major,Anton Fils,Symphony (by 1760)
E-flat,major,Robert Fuchs,"Symphony No. 2, Op. 45"
E-flat,major,Jan Adam Gallina ,Symphony (before 1773)
E-flat,major,John Gardner,Symphony No. 2 (1984–85)
E-flat,major,Friedrich Gernsheim,"Symphony No. 2, Op. 46 (1882)"
E-flat,major,Georg Gerson,Symphony (1813)
E-flat,major,Alexander Glazunov,"Symphony No. 4, Op. 48 (1893)"
E-flat,major,Alexander Glazunov,"Symphony No. 8, Op. 83 (1905)"
E-flat,major,Reinhold Glière,"Symphony No. 1, Op. 8 (1899–1900)"
E-flat,major,Karl Goldmark,"Symphony No. 2, Op. 35 (1887)"
E-flat,major,Charles Gounod,Symphony No. 2 (1855)
E-flat,major,Johann Gottlieb Graun,"Symphony in E-flat major, GraunWV A:XII:13"
E-flat,major,Adalbert Gyrowetz (Vojtěch Jírovec),"At least 3 symphonies, Opp. 6/2, 8 (""""Great"""") and 18 (1780s-90s?)"
E-flat,major,Johannes Haarklou,Symphony No. 4 (1920–22)
E-flat,major,Jacob Adolf Hägg,"Symphony No. 1 """"Nordic"""" (1871/1899)"
E-flat,major,Joseph Haydn,Symphony No. 11 in E-flat major
E-flat,major,Joseph Haydn,"Symphony No. 22 in E-flat major, Philosopher (1764)"
E-flat,major,Joseph Haydn,Symphony No. 36 in E-flat major (composed by 1769)
E-flat,major,Joseph Haydn,"Symphony No. 55 in E-flat major, Schoolmaster (1774)"
E-flat,major,Joseph Haydn,Symphony No. 74 in E-flat major (1780 or 1781)
E-flat,major,Joseph Haydn,Symphony No. 76 in E-flat major (1782?)
E-flat,major,Joseph Haydn,"Symphony No. 84 in E-flat major, In Nomine Domini (1786)"
E-flat,major,Joseph Haydn,Symphony No. 91 in E-flat major (1788)
E-flat,major,Joseph Haydn,Symphony No. 99 in E-flat major (1793)
E-flat,major,Joseph Haydn,"Symphony No. 103 in E-flat major, Drumroll (1795)"
E-flat,major,Michael Haydn,"Symphony No. 1D, MH 35 (1760)"
E-flat,major,Michael Haydn,"Symphony No. 26, MH 340, Perger 17 (1783)"
E-flat,major,Michael Haydn,"Symphony No. 34, MH 473, Perger 26 (1788)"
E-flat,major,Alfred Hill,Symphony No. 12 (1959)
E-flat,major,Paul Hindemith,Symphony in E-flat  (1940)
E-flat,major,Ernst Theodor Amadeus Hoffmann,Symphony in E flat major (1804)
E-flat,major,Ignaz Holzbauer,Symphony Op. 3 No. 1
E-flat,major,Ignaz Holzbauer,Symphony Op. 4 No. 3
E-flat,major,Jānis Ivanovs,Symphony No. 20 (1981)
E-flat,major,Jan Kalivoda,"Symphony No. 2, Op. 17 (1829)"
E-flat,major,Jan Bedřich Kittl,Symphony No. 2 (?) (composer's dates 1806–68)
E-flat,major,Joseph Martin Kraus,"Symphony in E-flat, VB 144 (1783)"
E-flat,major,Franz Krommer,"Symphony No. 5, Op. 105 (published 1815)"
E-flat,major,Joseph Küffner,"Symphony No. 5, Op. 142"
E-flat,major,Franz Lachner,"Symphony No. 1, Op. 32 (1828)"
E-flat,major,Sylvio Lazzari,Symphony (1907)
E-flat,major,Simon Le Duc,"Symphony """"No. 3"""" (1777)"
E-flat,major,Ruben Liljefors,"Symphony, Op. 14 (1906)"
E-flat,major,Leevi Madetoja,"Symphony No. 2, Op. 35 (1918)"
E-flat,major,Gustav Mahler,"Symphony No. 8 """"Symphony of a Thousand"""" (1906)"
E-flat,major,John Marsh,Symphony No. 5 (12) (1783)
E-flat,major,George W. H. Marshall Hall,Symphony No. 2 (1903)
E-flat,major,Jāzeps Medinš ,Symphony No. 3 (1941)
E-flat,major,Ernest John Moeran,"Symphony No. 2 (sketched between 1939 and 1950, completed by Martin Yates in 2011)"
E-flat,major,Georg Matthias Monn,Symphony (by 1750)
E-flat,major,Francisco Javier Moreno ,Symphony (ca.1800)
E-flat,major,Alexander Moyzes,"Symphony No. 4, Op. 38  (1947/1957)"
E-flat,major,Wolfgang Amadeus Mozart,"Symphony No. 1, K. 16 (1764)"
E-flat,major,Wolfgang Amadeus Mozart,"Symphony No. 3, K. 18 (1764)"
E-flat,major,Wolfgang Amadeus Mozart,"Symphony No. 19 in E-flat major, K. 132 (1772)"
E-flat,major,Wolfgang Amadeus Mozart,"Symphony No. 26 in E-flat major, K. 184 (1773)"
E-flat,major,Wolfgang Amadeus Mozart,"Symphony No. 39, K. 543 (1788)"
E-flat,major,Nikolai Myaskovsky,"Symphony No. 19  for wind band, Op. 46 (1939)"
E-flat,major,Josef Netzer,Symphony No. 4 (c. 1849)
E-flat,major,Ludvig Norman,"Symphony No. 2, Op. 40"
E-flat,major,Per August Ölander,Symphony (c.1868)
E-flat,major,Carlo d'Ordoñez,"Symphonies """"Brown Eb1"""", """"Brown Eb2"""", """"Brown Eb3"""", """"Brown Eb4"""", """"Brown Eb5"""""
E-flat,major,Boris Parsadanian,"Symphony No. 2, Op. 6 """"Martyros Sarian"""" (1961)"
E-flat,major,Václav Pichl,"Symphony, Z.3 """"Urania"""" (1764)"
E-flat,major,Václav Pichl,"Symphony, Z.24 (c.1769)"
E-flat,major,Ignaz Pleyel,"Symphony, Ben.134"
E-flat,major,Cipriani Potter,Symphony No. 8 (1828)
E-flat,major,Anton Reicha,"Symphony, Op. 41 (about 1800)"
E-flat,major,Prince Heinrich XXIV Reuss of Köstritz,Symphony No. 6 (pub. 1909)
E-flat,major,Ferdinand Ries,"Symphony No. 3, Op. 90 (1813)"
E-flat,major,Ferdinand Ries,"Symphony """"No. 8"""", WoO 30 (1822)"
E-flat,major,Bernhard Romberg,"Symphony No. 2, Op. 28"
E-flat,major,Antonio Rosetti,"Nine Symphonies, Murray cat. A23 - A31 incl. (dates between 1773 - 1789) (Attribution of A25 and A31 questioned)"
E-flat,major,Johann Rufinatscha,Symphony No. 2 (1840)
E-flat,major,Giovanni Battista Sammartini,"Symphony, J-C 26"
E-flat,major,Camille Saint-Saëns,"Symphony No. 1 , Op. 2 (1853)"
E-flat,major,Theodor von Schacht,Symphony (1790s)
E-flat,major,Theodor von Schacht,"Symphony """"Echo"""" (1790s)"
E-flat,major,Franz Schmidt,Symphony No. 2  (1911–13)
E-flat,major,Joseph Schmidt,Symphony (pub. 1797)
E-flat,major,Robert Schumann,"Symphony No. 3, Op. 97 """"Rhenish"""" (1850)"
E-flat,major,Johanna Senfter,Symphony No. 6 (?mid-1900s)
E-flat,major,Giovanni Sgambati,Symphony No. 2 (1884)
E-flat,major,Dmitri Shostakovich,"Symphony No. 3, Op. 20 """"First of May"""" (1931)"
E-flat,major,Dmitri Shostakovich,"Symphony No. 9, Op. 70 (1945)"
E-flat,major,Jean Sibelius,"Symphony No. 5, Op. 82 (1915, rev 1916–9)"
E-flat,major,Christian Sinding,Symphony No. 4  (1935–36)
E-flat,major,Louis Spohr,"Symphony No. 1, Op. 20 (1811)"
E-flat,major,Louis Spohr,"Symphony No. 10, Op. posth. (1857)"
E-flat,major,Carl Stamitz,"Symphony, Op. 9 No. 6"
E-flat,major,Johann Stamitz,"Symphony, Op. 11 No. 3 (1754-5)"
E-flat,major,Charles Villiers Stanford,"Symphony No. 6 , Op. 94 """"In honour of the life-work of a great artist: George Frederick Watts"""" (1905)"
E-flat,major,Igor Stravinsky,"Symphony in E-flat, Op. 1 (1907)"
E-flat,major,Pyotr Ilyich Tchaikovsky,"Symphony in E-flat (1889–92) (reconstruction of the composer's intentions — the first movement became the third piano concerto, two other movements became an Andante and Finale for the concerto later arranged by Sergei Taneyev)"
E-flat,major,Friedrich-Eugen Thurner ,Symphony
E-flat,major,Anton Urspruch,"Symphony, Op. 14 (1881)"
E-flat,major,Jan Nepomuk Vent ,Symphony (by 1800)
E-flat,major,Johann Baptist Wanhal,"Symphony (Bryan Eb1, with La Tempesta finale)"
E-flat,major,Felix Weingartner,"Symphony No. 2, Op. 29 (1900)"
E-flat,major,Samuel Wesley,Symphony (1784)
E-flat,major,Christian Wilhelm Westerhoff ,Symphony (1796)
E-flat,major,Christoph Ernst Friedrich Weyse,"Symphony No. 5, DF 121 (1796, rev. 1838)"
E-flat,major,Christoph Ernst Friedrich Weyse,"Symphony No. 7, DF 123 (1799)"
E-flat,major,Johann Wilhelm Wilms,"Symphony No. 3, Op. 14 (by 1809)"
E-flat,major,Ernst Wilhelm Wolf,Symphony (date unknown)
E-flat,major,Francesco Zappa,Two symphonies (c.1770s)
E-flat,major,Niccolò Zingarelli,"Symphony """"No. 2"""" (before 1800)"
E-flat,major,Bernard Zweers,Symphony No. 2 (1882–83)
E-flat,minor,Philip Greeley Clapp,"Symphony No. 9 """"The Pioneers"""" (1931)"
E-flat,minor,Jordan Grigg,Symphony No. 12
E-flat,minor,Koichi Kishi,"Symphony """"Buddha"""""
E-flat,minor,Rued Langgaard,"Symphony No. 4 """"Leaf Fall"""" (1916)"
E-flat,minor,Rued Langgaard,"Symphony No. 10 """"Yon Hall of Thunder"""" (1944-45)"
E-flat,minor,Nikolai Myaskovsky,"Symphony No. 6, Op. 23 (1921-3)"
E-flat,minor,Vyacheslav Ovchinnikov,Symphony No. 1 in one movement (1956)
E-flat,minor,Vyacheslav Ovchinnikov,Symphony No. 2 for strings (1973)
E-flat,minor,Sergei Prokofiev,"Symphony No. 6, Op. 111 (1947)"
E-flat,minor,Nikolai Rimsky-Korsakov,"Symphony No. 1, Op. 1 (first version of 1861-65)"
E-flat,minor,Joseph Ryelandt,"Symphony No. 4, Op. 55 (1913)"
E-flat,minor,Arnold Schoenberg,"Chamber Symphony No. 2, Op. 38 (1906/1939)"
E-flat,minor,Rodion Shchedrin,Symphony No. 1 (1956-58)
E-flat,minor,Alexander Tcherepnin,"Symphony No. 2, Op. 77 (1947–51)"
E-flat,minor,Ralph Vaughan Williams,Sinfonia antartica (No. 7)
E,major,Carl Friedrich Abel,"Symphony, Op. 10 No. 1, WK 19"
E,major,Hugo Alfvén,"Symphony No. 3, Op. 23  (1904–1906)"
E,major,Frederic Austin,Symphony (premiered 1913)
E,major,Carl Philipp Emanuel Bach,Symphony in E major (Wq.182:6 / H662)
E,major,Johann Christian Bach,"Symphony No. 28 Op. 18 no. 5 (CW C28, T270/10), 1772."
E,major,Johann Christoph Friedrich Bach,Symphony No. 4 Wf I:4 (by 1769)
E,major,Franz Ignaz Beck,"Sinfonia, Op. 13 no. 1 (Callen 25)"
E,major,Hermann Bischoff,Symphony No.1 (ca.1906)
E,major,Max Bruch,"Symphony No. 3 , Op. 51 (1882, revised 1884–86)"
E,major,Anton Bruckner,"Symphony No. 7 (1881–83, revised 1885) (WAB 107)"
E,major,Christian Cannabich,Symphony No. 52 (published 1772)
E,major,Frederic Hymen Cowen,"Symphony No. 6 """"Idyllic""""  (1897)"
E,major,Eric DeLamarter,Symphony No. 3 (premiered 1933)
E,major,Carl Ditters von Dittersdorf,Symphony Grave E1 (by 1761)
E,major,Carl Ditters von Dittersdorf,Symphony Grave E2
E,major,Ernő Dohnányi,"Symphony No. 2, Op. 40 (1945, revised 1954–57)"
E,major,Alban Förster ,Symphony (published 1888)
E,major,Robert Fuchs,"Symphony No. 3, Op. 79 (1906)"
E,major,Niels Gade,"Symphony No. 2 , Op. 10 (1843)"
E,major,Florian Leopold Gassmann,"Symphonies Hill 63, 105, 106. One of Wanhal's was attributed to Gassmann once."
E,major,Alexander Glazunov,"Symphony No. 1 """"Slavonic"""", Op. 5 (1881)"
E,major,Alexander Grechaninov,"Symphony No. 3, Op. 100 (1920-23)"
E,major,Asger Hamerik,"Symphony No. 3, Op. 33 """"Symphonie lyrique"""" (1885)"
E,major,Johan Peter Emilius Hartmann,"Symphony No. 2, Op. 48 (1847–48)"
E,major,Joseph Haydn,Symphony No. 12 (1763)
E,major,Joseph Haydn,Symphony No. 29 (1765)
E,major,Michael Haydn,"Symphony No. 7, MH 65, Perger 5 (1764)"
E,major,Michael Haydn,"Symphony No. 17, MH 151, Perger 17 (1771?)"
E,major,Franz Anton Hoffmeister,"Symphony, Op.3 No.1 (1778)"
E,major,Leopold Kozeluch,Symphony P I:E1
E,major,Franz Lachner,Symphony No. 4 (1834)
E,major,Albéric Magnard,"Symphony No. 2 , Op. 6 (1892–93, rev. 1896)"
E,major,Miguel Marqués,Symphony No. 4
E,major,Étienne Méhul,Symphony No. 4 (1810)
E,major,Erkki Melartin,"Symphony No. 4 """"Summer"""", Op. 80 (1912)"
E,major,Nikolai Myaskovsky,"Symphony No. 20, 0p. 50 (1940)"
E,major,Ludolf Nielsen,"Symphony No. 2, Op. 19 (1907–1909)"
E,major,Carlo d'Ordonez,"Symphony, Brown E1"
E,major,Carlo d'Ordonez,"Symphony, Brown E2"
E,major,Carlo d'Ordonez,"Symphony, Brown E3"
E,major,Carlo d'Ordonez,"Symphony, Brown E4"
E,major,Wenzel Pichl,"Symphony Clio, Zakin 8 (1768)"
E,major,Joachim Raff,"Symphony No. 5 """"Lenore"""", Op. 177 (1870–1)"
E,major,Levko Revutsky,"Symphony No. 2, Op. 12 (1926–27, revised 1940 and 1970)"
E,major,Julius Röntgen,Symphony No. 18 (1932)
E,major,Guy Ropartz,Symphony No. 3  with choir (1905–1906)
E,major,Hans Rott,Symphony (1878–80)
E,major,Franz Schmidt,Symphony No. 1  (1896–99)
E,major,Arnold Schoenberg,"Chamber Symphony No. 1, Op. 9 (1906)"
E,major,Franz Schubert,"Symphony No. 7, D. 729"
E,major,Alexander Scriabin,"Symphony No. 1, Op. 26 (1899-1900)"
E,major,Josef Suk,"Symphony No. 1, Op. 14 (1897–99)"
E,major,Arthur Sullivan,"Symphony """"Irish"""" (1863) (arguably actually in E minor.)"
E,major,Thomas Täglichsbeck,"Symphony No. 2, Op. 48"
E,major,Alexander Tcherepnin,"Symphony No. 1, Opus 42"
E,major,Harold Truscott,Symphony (1949–50)
E,major,Johann Baptist Wanhal,"Symphony, Bryan E1"
E,major,Johann Baptist Wanhal,"*Symphony, Bryan E2"
E,major,Johann Baptist Wanhal,"Symphony, Bryan E3"
E,major,Johann Baptist Wanhal,"Symphony, Bryan E4"
E,major,Johann Baptist Wanhal,"Symphony, Bryan E5"
E,major,Václav Jindřich Veit,"Symphony, Opus 49"
E,major,Richard Wagner,"Symphony in E major (two movements sketched but abandoned in 1834, completed by Felix Mottl in 1887)"
E,major,Karl Weigl,"Symphony No. 1, op. 5 (1908)"
E,major,Felix Weingartner,"Symphony No. 3, op. 49 with organ (1908–10)"
E,minor,Alexander Alyabyev,Symphony (1830)
E,minor,Kurt Atterberg,"Symphony No. 8, Op. 48 (1944-5)"
E,minor,Carl Philipp Emanuel Bach,Symphony Wq.177 / H652 (exists a second version with added woodwinds as Wq.178 / H653) (Berlin 1756)
E,minor,Arnold Bax,Symphony No. 2 (1924-6)
E,minor,Amy Beach,"Symphony, Op. 32 """"Gaelic"""" (1894-6)"
E,minor,Johannes Brahms,"Symphony No. 4, Op. 98 (1884-5)"
E,minor,Havergal Brian,Symphony No. 2  (1930-1)
E,minor,Havergal Brian,Symphony No. 19 (1961)
E,minor,Ignaz Brüll,"Symphony, Op. 31, 1880"
E,minor,Frederic Cliffe,"Symphony No. 2, 1892"
E,minor,Felix Draeseke,"Symphony No. 4, WoO 38  """"Symphonia Comica"""" (1912)"
E,minor,Antonín Dvořák,"Symphony No. 9, Op. 95, B. 178 (1893)"
E,minor,Zdeněk Fibich,"Symphony No. 3 , Op. 53 (1898)"
E,minor,Grzegorz Fitelberg,"Symphony No. 1, Op. 16 (published 1904)"
E,minor,Alberto Franchetti,Symphony (1884)
E,minor,Wilhelm Furtwängler,Symphony No. 2 (1945-6)
E,minor,John Gardner,"Symphony No. 3, Op. 189 (1989)"
E,minor,Edward German,"Symphony No. 1  (1887, revised 1890)"
E,minor,Louis Glass,"Symphony No. 4, Op. 43 (1911)"
E,minor,Howard Hanson,"Symphony No. 1 """"Nordic""""  (1922)"
E,minor,Joseph Haydn,"Symphony No. 44 """"Trauer"""" (1770)"
E,minor,Alfred Hill,"Symphony No. 7 (1956 arrangement of Quartet No. 10, 1935)"
E,minor,Ferdinand Hiller,"Symphony, """"Es muss doch Fruhling werden"""" Op. 67"
E,minor,Hans Huber,"Symphony No. 2 """"Böcklinsymphonie"""", Op. 115 (1897-8)"
E,minor,Joseph Huber ,"Symphony No. 3 """"Durch Dunkel zum Licht"""", Op. 10"
E,minor,Mikhail Ippolitov-Ivanov,"Symphony No. 1, Op. 46 (1908)"
E,minor,Mieczysław Karłowicz,"Symphony, Op. 7 """"Revival"""" (1902)"
E,minor,Hugo Kaun,"Symphony No. 3, Op. 96 (1913)"
E,minor,Aram Khachaturian,Symphony No. 1  (1934)
E,minor,Aram Khachaturian,"Symphony No. 2 """"The Bell"""" (or """"Symphony with Bells"""") (1943)"
