HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00496	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sternula	albifrons	Little tern	730	730	21		2					31	0.182	23.9	450	wild	medium	acceptable						444,450,729,732
00497	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sternula	antillarum	Least tern	1095	1095	21		2			7		40	0.307	24.1	577	wild	medium	acceptable						440,445,577,732
00498	Animalia	Chordata	Aves	Charadriiformes	Laridae	Sternula	nereis	Fairy tern										72.15		17.2	1305	wild	medium	acceptable						1305,1308
00499	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	bengalensis	Lesser crested tern										213		14	1305	wild	small	acceptable						1305,1308
00500	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	bergii	Greater crested tern	727									334.5		32.2	1305	wild	large	acceptable						1305,1308
00501	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	elegans	Elegant tern	1095	1095	26		1	1		26.4		251		20.9	427	wild	small	acceptable						427,445
00502	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	maximus	Royal tern	1095	1095	28		2	1		56		373		28.6	427	wild	medium	acceptable						427,445
00503	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus	sandvicensis	Sandwich tern	1095	1095	22		1	1		28		250		30.8		unknown	medium	acceptable						61,444,445,729
00504	Animalia	Chordata	Aves	Charadriiformes	Pedionomidae	Pedionomus	torquatus	Plains-wanderer										67.8		2.3	1305	wild	medium	acceptable						1305,1308
00505	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Cladorhynchus	leucocephalus	Banded stilt										215.25		11.3	1305	wild	tiny	acceptable						1305,1308
00506	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Himantopus	himantopus	Black-winged stilt	727									161	0.175	16	1305	wild	medium	acceptable						450,732,820,1305,1308
00507	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Himantopus	mexicanus	Black-necked (Hawaiian) stilt	365	365	25		4	1		13.6		186		25	Sarah Shannon, pers. comm.	captivity	medium	acceptable						444,445,820
00508	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Recurvirostra	americana	American avocet	365	365	24		4	1				340				unknown	small	low						427,444,445
00509	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Recurvirostra	avosetta	Pied avocet	730	730								304	0.192	27.8	450	wild	medium	acceptable						450,729,732,820
00510	Animalia	Chordata	Aves	Charadriiformes	Recurvirostridae	Recurvirostra	novaehollandiae	Red-necked avocet										324.675				unknown	small	low						1305,1308
00511	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Actitis	hypoleucos	Common sandpiper	365	365								48		14.5	450	wild	medium	acceptable						450,729,820
00512	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Actitis	macularius	Spotted sandpiper	365	365	20		4	1		6.04		34		12	576	wild	small	acceptable						444,445,576
00513	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Arenaria	interpres	Ruddy turnstone	730	730	22		4	1		11.42		136	0.114	22.3	553	wild	medium	acceptable			0.92	90		435,444,445,553,729,732,820
00514	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Bartramia	longicauda	Upland sandpiper			22		4	1		18		141		8.9	427	wild	medium	acceptable						427,444,445
00515	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	acuminata	Sharp-tailed sandpiper										67.7		8.6	1305	wild	medium	questionable						1305,1308
00516	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	alba	Sanderling	730	730	27		4	1.5		7.3		50		18.6	450	wild	small	acceptable						444,445,450,729
00517	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	alpina	Dunlin	730	730	21		4	1		9		52.5		28.8	450	wild	small	acceptable						61,444,445,450,729
00518	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	canutus	Red knot	1095	1095	22		4	1				135		27.3	553	wild	small	acceptable						444,445,553,729
00519	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	ferruginea	Curlew sandpiper	1095	1095								58.1		19.7	450	wild	medium	acceptable						450,729,820
00520	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	fuscicollis	White-rumped sandpiper	365	365	22		4			5		42				unknown	small	low						444,445,576
00521	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	himantopus	Stilt sandpiper	730	730								57.3		11.1	577	wild	tiny	acceptable						577,820,977
00522	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	maritima	Purple sandpiper	1095	1095	22		4	1		9.1		65.2		20.8	450	wild	medium	acceptable						445,450,729,820
00523	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	mauri	Western sandpiper	730	730	21		4	1		5		26.19		9.2	576	wild	small	acceptable						445,576,977
00524	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	melanotos	Pectoral sandpiper	365	365	22		4	1		8.27		85				unknown	small	low						444,445,577
00525	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	minuta	Little stint	730	730								21.1		14.7	450	wild	medium	acceptable						450,729,820
00526	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	minutilla	Least sandpiper	365	365	20		4	1		4.06		26		16	577	wild	medium	acceptable						444,445,577
00527	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	ptilocnemis	Rock sandpiper	365	365	20		4	1		9.7		84				unknown	small	low						444,445,577
00528	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	pusilla	Semipalmated sandpiper	365	365	20		4	1		4.4		27		19.3	427	wild	medium	acceptable	0.3					427,445
00529	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	ruficollis	Red-necked stint										26.95		21.8	1305	wild	large	acceptable						1305,1308
00530	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	temminckii	Temminck's stint	455									23		12.9	450	wild	medium	acceptable						450,820,1143,1308
00531	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Calidris	tenuirostris	Great knot										179.167		20.9	1305	wild	large	acceptable						1305,1308
00532	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Gallinago	delicata	Wilson's snipe	455	365								122		9.2	0427	wild	medium	acceptable						427,820,977,1308
00533	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Gallinago	gallinago	Common snipe	365	365	19		4			11		131.6		18.2	450	wild	medium	acceptable						444,445,450,729
00534	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Gallinago	hardwickii	Japanese snipe										155.567				unknown	small	low						1305,1308
00535	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Gallinago	media	Great snipe										174.5		5.9	0450	wild	small	questionable						450,1308
00536	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limicola	falcinellus	Broad-billed sandpiper										37.1		11.6	1305	wild	medium	acceptable						450,820,1305
00537	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus	griseus	Short-billed dowitcher	365	365	21		4	1		11.8		105		13.3	577	wild	small	acceptable						444,445,577
00538	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus	scolopaceus	Long-billed dowitcher	365	365	20		4	1				130		13.2	427	wild	medium	acceptable						427,444,445,1308
00539	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limnodromus	semipalmatus	Asian dowitcher										198.75				unknown	tiny	low						1305,1308
00540	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa	fedoa	Marbled godwit	1095	1095	24		4	1		37		336		13.7	427	wild	tiny	acceptable						427,444,445,818
00541	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa	lapponica	Bar-tailed godwit	730	730	21		4	1		28		322		34	553	wild	medium	acceptable						444,445,553,729
00542	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa	limosa	Black-tailed godwit	730	730								294	0.132	23.6	450	wild	medium	acceptable						444,450,729,732
00543	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Lymnocryptes	minimus	Jack snipe	365	365								50.2		12.3	450	wild	medium	acceptable						450,729,820
00544	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Numenius	arquata	Eurasian curlew	730	730								728	0.13	31.8	450	wild	medium	acceptable						444,450,729,732
00545	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Numenius	madagascariensis	Eastern curlew										824.75		19.1	1305	wild	small	acceptable						1305,1308
00546	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Numenius	minutus	Little curlew										172.25				unknown	small	low						1305,1308
00547	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Numenius	phaeopus	Whimbrel	730	730	22		4	1		35		365.7		24.2	553	wild	small	acceptable						444,445,450,553,729,820
00548	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Numenius	tahitiensis	Bristle-thighed curlew	1065	1065			4	1		37.6		408.6		23.8	427	wild	small	acceptable						427,444,445
00549	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Phalaropus	lobatus	Red-necked phalarope	365	365								33.8		12.9	553	wild	tiny	acceptable						553,818
00550	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Phalaropus	tricolor	Wilson's phalarope			23		4					57		10	579	wild	medium	acceptable						444,445,579
00551	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Philomachus	pugnax	Ruff	730	730								136	0.134	13.9	450	wild	medium	acceptable						450,729,732,820,1143
00552	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Scolopax	minor	American woodcock	300	300	20		4	1		12.2		197.5		20.9	427	wild	large	acceptable			1.066	156.7		427,435,437,444,445,820
00553	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Scolopax	rusticola	Eurasian woodcock	365	365								308.3		15.5	450	wild	medium	acceptable			2.16	430		450,510,729,820
00554	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	erythropus	Spotted redshank	365	365								158		8.6	450	wild	medium	acceptable						450,729,820
00555	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	flavipes	Lesser yellowlegs	365	365	23		2	1		11.5		80.65				unknown	tiny	low						445,576
00556	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	glareola	Wood sandpiper	365	365								62.5		11.7	0450	wild	large	acceptable						450,729,820
00557	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	nebularia	Common greenshank	365	365								187		24.4	450	wild	medium	acceptable						450,729,820
00558	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	ochropus	Green sandpiper	365	365								90		11.5	450	wild	medium	acceptable						450,729
00559	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	semipalmata	Willet	730	730	22		4	1		28		270		12.6	427	wild	small	acceptable						427,444,445
00560	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	stagnatilis	Marsh sandpiper	363									77.5		8.5	1305	wild	medium	acceptable						324,450,820,1305,1308
00561	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Tringa	totanus	Common redshank	365	365								149	0.103	26.9	450	wild	medium	acceptable						450,729,732
00562	Animalia	Chordata	Aves	Charadriiformes	Scolopacidae	Xenus	cinereus	Terek sandpiper										78.8		16.9	1305	wild	medium	acceptable						450,820,1305
00563	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius	antarcticus	Brown skua	1454									1687		28.8	0427	wild	medium	acceptable						427,820,1308
00564	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius	longicaudus	Long-tailed jaeger			23		2					298	0.331	14	427	wild	medium	acceptable						427,444,732
00565	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius	maccormicki	South polar skua	1823									1349		23.5	0427	wild	medium	acceptable						427,820,1308
00566	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius	parasiticus	Parasidic jaeger	1200	1200	26		2			28.5		445.5		31.1	450	wild	medium	acceptable						444,445,450,820
00567	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius	skua	Great skua	2190	2190								1340	0.156	35.9	0450	wild	large	acceptable						450,729,732,820,1143
00568	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Anastomus	lamelligerus	African openbill										1081				unknown	small	low						668,820
00569	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Anastomus	oscitans	Asian openbill												18	668	captivity	small	acceptable						668
00570	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	abdimii	Abdim's stork										1398		21.6	668	captivity	medium	acceptable						668,820
00571	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	boyciana	Oriental white stork	1278	1460								4850.5		48.1	668	captivity	medium	acceptable						668,820,1308
00572	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	ciconia	European white stork	1460	1460	33		4					3350	0.17	39	450	wild	medium	acceptable						438,450,732,972
00573	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	episcopus	Woolly-necked stork										2061		32	Zoe Bryant, pers. comm.	captivity	medium	acceptable						668,820
00574	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	maguari	Maguari stork										4000	0.164	20.4	668	captivity	medium	acceptable						668,732,820
00575	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	nigra	Black stork	1090									2926		31.3	668	captivity	medium	acceptable						668,820,1308
00576	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ephippiorhynchus	asiaticus	Black-necked stork										4100		34	668	captivity	small	acceptable						668,820
00577	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ephippiorhynchus	senegalensis	Saddle-billed stork										6162.5		30.2	668	captivity	medium	acceptable						668,820
00578	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Jabiru	mycteria	Jabiru										5470		27.4	668	captivity	small	acceptable						668
00579	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Leptoptilos	crumeniferus	Marabou	1460	1460	30		2					8000	0.073	44.7	668	captivity	large	acceptable						438,668,732
00580	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Leptoptilos	dubius	Greater adjutant												43	668	captivity	small	acceptable						668
00581	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Leptoptilos	javanicus	Lesser adjutant										5710		31.1	668	captivity	medium	acceptable						668
00582	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	americana	Wood stork	1460	1460	30		3	1		62		2500	0.125	27	668	captivity	small	acceptable						444,445,668,732
00583	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	cinerea	Milky stork												12.4	668	captivity	medium	questionable						668
00584	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	ibis	Yellow-billed stork	1090									2166.5		19.1	668	captivity	medium	acceptable						668,820,1308
00585	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	leucocephala	Painted stork										3180		28.6	668	captivity	medium	acceptable						668,820
00586	Animalia	Chordata	Aves	Coliiformes	Coliidae	Colius	striatus	Speckled mousebird	363		14							51		11.5	986	captivity	large	acceptable						986,1308
00587	Animalia	Chordata	Aves	Columbiformes	Columbidae	Caloenas	nicobarica	Nicobar pigeon			17		1					519		20.5	986	captivity	large	acceptable						986
00588	Animalia	Chordata	Aves	Columbiformes	Columbidae	Chalcophaps	indica	Common emerald dove										136.983		12	1305	wild	small	acceptable						1305,1308
00589	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	livia	Rock dove	140	140	18		2	3		15.2		358.7	0.28	35	1	captivity	large	high						1,61,62,399,400,404,405,444,445,732,1246,1376
00590	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	oenas	Stock dove, or Stock pigeon	365	365								291	0.32	12.6	450	wild	medium	acceptable						450,729,732,820
00591	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columba	palumbus	Common wood-pigeon	365	365								490	0.338	17.7	450	wild	medium	acceptable						450,729,732,820
00592	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columbina	inca	Inca dove			14		2	3.5				50		13.3	575	captivity	small	acceptable						444,445,575,579
00593	Animalia	Chordata	Aves	Columbiformes	Columbidae	Columbina	passerina	Common ground dove	75	75	13		2	2.5		5		35		7.2	577	wild	medium	acceptable						444,445,577
00594	Animalia	Chordata	Aves	Columbiformes	Columbidae	Ducula	bicolor	Pied imperial pigeon										457.55		14	1305	wild	tiny	acceptable						1305,1308
00595	Animalia	Chordata	Aves	Columbiformes	Columbidae	Geopelia	cuneata	Diamond dove										31.55				unknown	small	low						1305,1308
00596	Animalia	Chordata	Aves	Columbiformes	Columbidae	Geopelia	humeralis	Bar-shouldered dove										128.65		14	1305	wild	medium	acceptable						1305,1308
00597	Animalia	Chordata	Aves	Columbiformes	Columbidae	Geopelia	striata	Zebra dove										56.6		18.7	1305	wild	large	acceptable						575,820,1305
00598	Animalia	Chordata	Aves	Columbiformes	Columbidae	Leptotila	verreauxi	White-tipped dove			14		2	1				147.5		8.6	579	wild	small	acceptable			0.8884	131		444,445,510,579,820
00599	Animalia	Chordata	Aves	Columbiformes	Columbidae	Leucosarcia	melanoleuca	Wonga pigeon										429		16.3	575	captivity	tiny	acceptable			1.695	445		435,575,820
00600	Animalia	Chordata	Aves	Columbiformes	Columbidae	Macropygia	amboinensis	Amboyna cuckoo-dove										236.75				unknown	tiny	low						1305,1308
00601	Animalia	Chordata	Aves	Columbiformes	Columbidae	Ocyphaps	lophotes	Crested pigeon										204.5		17.3	1305	wild	large	acceptable						1305,1308
00602	Animalia	Chordata	Aves	Columbiformes	Columbidae	Patagioenas	fasciata	Band-tailed pigeon	365	365	19		1					315		18.5	577	wild	large	acceptable						444,577,818
00603	Animalia	Chordata	Aves	Columbiformes	Columbidae	Patagioenas	leucocephala	White-crowned pigeon	365	365			1					247		14.4	577	wild	medium	acceptable						444,577,818
00604	Animalia	Chordata	Aves	Columbiformes	Columbidae	Phaps	chalcoptera	Common bronzewing										338.5		5.1	1305	wild	small	acceptable						1305,1308
00605	Animalia	Chordata	Aves	Columbiformes	Columbidae	Phaps	elegans	Brush bronzewing										211.175				unknown	small	low						1305,1308
00606	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	chinensis	Spotted dove			15		2			6.4		159		16.7	1305	wild	medium	acceptable						444,445,579,1305
00607	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	decaocto	Eurasian collared-dove	365	365	15		2	4.5				157.4	0.333	17.9	575	captivity	medium	acceptable						61,445,450,575,729,732
00608	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	risoria	Ring dove												12		unknown	medium	acceptable						409,410,416,417,891
00609	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	turtur	European turtle-dove	365	365								132		13.2	450	wild	medium	acceptable			1.138	154		450,510,729,820
00610	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	asiatica	White-winged dove	365	365	13		2			7.7		140		25		unknown	medium	acceptable						444,445
00611	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	aurita	Zenaida dove										156				unknown	tiny	low						427,820
00612	Animalia	Chordata	Aves	Columbiformes	Columbidae	Zenaida	macroura	Mourning dove	90	80	14		2	5		5		119		31.3	427	wild	large	acceptable			0.736	123		427,437,444,445,510
00613	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	atthis	Common kingfisher	365	365								31.4		21	450	wild	medium	acceptable			0.378	34.3		450,510,729,820
00614	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Ceryle	rudis	Pied kingfisher	363									84.4		3.9	450	wild	medium	acceptable						450,820,1308
00615	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Chloroceryle	americana	Green kingfisher					3					34		5	427	wild	medium	acceptable						427,445
00616	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Dacelo	novaeguineae	Laughing kookaburra	365	365	25							305		26.8	986	captivity	large	acceptable						986
00617	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Halcyon	smyrnensis	White-throated kingfisher										91.4		5.5	450	wild	medium	acceptable						450,820
00618	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Syma	torotoro	Yellow-billed kingfisher										40.65		5.7	1305	wild	small	acceptable						1305,1308
00619	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Tanysiptera	sylvia	Buff-breasted paradise kingfisher										49.725		9	1305	wild	medium	acceptable						1305,1308
00620	Animalia	Chordata	Aves	Coraciiformes	Coraciidae	Coracias	benghalensis	Indian roller										158		8.9	575	captivity	small	acceptable						575,820
00621	Animalia	Chordata	Aves	Coraciiformes	Coraciidae	Coracias	caudatus	Lilac-breasted roller			21							108		13.7	986	captivity	medium	acceptable						986
00622	Animalia	Chordata	Aves	Coraciiformes	Coraciidae	Coracias	garrulus	European roller	363									146		9.2	450	wild	medium	acceptable						450,820,1308
00623	Animalia	Chordata	Aves	Coraciiformes	Coraciidae	Eurystomus	orientalis	Dollarbird										148.383				unknown	tiny	low						1305,1308
00624	Animalia	Chordata	Aves	Coraciiformes	Meropidae	Merops	apiaster	European bee-eater	365	365								56.6		5.9	450	wild	medium	acceptable						450,729,820
00625	Animalia	Chordata	Aves	Coraciiformes	Meropidae	Merops	bullockoides	White-fronted bee-eater										34.8		7	575	captivity	medium	acceptable						575,820
00626	Animalia	Chordata	Aves	Coraciiformes	Meropidae	Merops	ornatus	Rainbow bee-eater										29.5		4.6	1305	wild	small	acceptable						1305,1308
00627	Animalia	Chordata	Aves	Coraciiformes	Momotidae	Momotus	mexicanus	Russet-crowned motmot										75.7		10.4	575	captivity	tiny	acceptable						575,820
00628	Animalia	Chordata	Aves	Coraciiformes	Momotidae	Momotus	momota	Blue-crowned motmot			21							133		20.3	986	captivity	medium	acceptable						986
00629	Animalia	Chordata	Aves	Coraciiformes	Todidae	Todus	mexicanus	Puerto Rican tody	363									5.9		14	1368	wild	medium	acceptable						427,820,1308,1368
00630	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Cacomantis	castaneiventris	Chestnut-breasted cuckoo										31.5				unknown	tiny	low						1305,1308
00631	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Cacomantis	flabelliformis	Fan-tailed cuckoo										49.85		6	1305	wild	small	acceptable						1305,1308
00632	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Cacomantis	variolosus	Brush cuckoo										33.5083		3.8	1305	wild	tiny	acceptable						1305,1308
00633	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Coccyzus	americanus	Yellow-billed cuckoo	365	365	14		3	1		8.5		57.8		5	579	wild	small	acceptable						444,445,579
00634	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Coccyzus	erythropthalmus	Black-billed cuckoo	365	365	14		2.5	1		7.4		37.5		5	579	wild	small	acceptable						444,445,579
00635	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Cuculus	canorus	Common cuckoo, or Eurasian cuckoo	365	365								111.5		12.9	450	wild	medium	acceptable			0.838	111.6		450,510,729,820
00636	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Geococcyx	californianus	Greater roadrunner	365	365	20		4	1.5		14		376	0.109	9	445	captivity	medium	acceptable			1.4661	284.7		435,444,445,732,820
00637	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Saurothera	vieilloti	Puerto Rican lizard cuckoo										81.9		7.6	0427	wild	medium	acceptable						427,820
00638	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Scythrops	novaehollandiae	Channel-billed cuckoo										684.1		7.3	1305	wild	tiny	acceptable						1305,1308
00639	Animalia	Chordata	Aves	Eurypygiformes	Eurypygidae	Eurypyga	helias	Sunbittern			27		2					210		15	448	captivity	medium	acceptable						448,820
00640	Animalia	Chordata	Aves	Falconiformes	Falconidae	Caracara	cheriway	Crested caracara			32		2	1.5		51.17		1031		25.8	575	captivity	small	acceptable						445,575
00641	Animalia	Chordata	Aves	Falconiformes	Falconidae	Caracara	plancus	Southern caracara										1348		37.6	575	captivity	small	acceptable						427,575,820
00642	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	berigora	Brown falcon										593.5		24	972	captivity	small	acceptable						820,972
00643	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	cenchroides	Nankeen kestrel										172.5		7	1305	wild	medium	questionable						1305,1308
00644	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	cherrug	Saker falcon	727									966		15.9	0450	wild	medium	questionable						450,820,1146,1308
00645	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	columbarius	Merlin	365	365	30		5	1		13		195	0.241	12.7	450	wild	medium	acceptable						444,445,450,729,732,972
00646	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	eleonorae	Eleonora's falcon	545									390		11.2	450	wild	medium	acceptable						450,820,1308
00647	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	femoralis	Aplomado falcon			32		2.64			17.5		342.5		12	445	wild	medium	acceptable						445
00648	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	longipennis	Australian hobby										246				unknown	small	low						1305,1308
00649	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	mexicanus	Prairie falcon	365	365	31		4	1		30.6		858		17.2	427	wild	medium	acceptable	0.25					427,437,444,445
00650	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	naumanni	Lesser kestrel	365	365								152.5		10.9	450	wild	medium	acceptable						450,729,820
00651	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	peregrinus	Peregrine falcon	365	365	30		3	1		37.5		840	0.199	25		unknown	medium	acceptable	0.2					437,440,444,445,732
00652	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	punctatus	Mauritius kestrel										169.5		10	1146	unknown	small	questionable						820,1146
00653	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	rupicoloides	Greater kestrel										261				unknown	tiny	low						1,820
00654	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	rusticolus	Gyrfalcon	730	730	35		3.72	1		52.08		1406.5		13.5	427	wild	medium	acceptable						427,445
00655	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	sparverius	American kestrel	365	365	29		4.6	1.5		9		117	0.285	17	444	captivity	medium	acceptable						61,218,437,444,445,732
00656	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	subbuteo	Eurasian hobby	365	365								209.5	0.264	14.9	553	wild	medium	acceptable			1.3014	208		510,553,729,732,820
00657	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	subniger	Black falcon										692.775		11.6	1305	wild	tiny	acceptable						1305,1308
00658	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	tinnunculus	Common kestrel	365	365								184	0.294	23.8	450	wild	large	acceptable						450,729,732,820,1186
00659	Animalia	Chordata	Aves	Falconiformes	Falconidae	Falco	vespertinus	Red-footed falcon	363									152.5		13.2	450	wild	medium	acceptable						450,820,972,1308
00660	Animalia	Chordata	Aves	Galliformes	Cracidae	Crax	globulosa	Wattled curassow										2500		20	1	captivity	small	acceptable						1,820
