# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 21 13:14:18 2025
#
# CONSTRAINT:  where (default_flag =1
# CONSTRAINT:  and disc_facility like '%TESS%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-2497 b,TOI-2497,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,10.65566900000,0.00003800000,-0.00003800000,0,0.1166000000,0.0018000000,-0.0018000000,0,11.14172682,0.61649394,-0.54924005,0,0.99400000,0.05500000,-0.04900000,0,1531.93292174,130.30964687,-130.30964687,0,4.82000000,0.41000000,-0.41000000,0,Mass,0.195000,0.043000,-0.040000,0,,,,,1595.00,45.00,-42.00,0,0,<a refstr=RODRIGUEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..609R/abstract target=ref>Rodriguez et al. 2023</a>,,7360.00,320.00,-300.00,0,2.360000,0.120000,-0.110000,0,1.859000,0.087000,-0.083000,0,0.0940,0.0760,-0.0720,0,[Fe/H],3.962000,0.050000,-0.049000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h00m15.02s,90.0625878,+11d53m02.61s,11.8840577,285.28900000,3.56400000,-3.47900000,9.5470000,0.0040000,-0.0040000,8.4860000,0.0160000,-0.0160000,9.4724400,0.0002620,-0.0002620,2023-03-15,2023-02,2023-03-15
TOI-2498 b,TOI-2498,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FRAME_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1428F/abstract target=ref>Frame et al. 2023</a>,3.73825200000,0.00000400000,-0.00000400000,0,0.0491000000,0.0030000000,-0.0030000000,0,6.06000000,0.29000000,-0.27000000,0,0.54063792,0.02587211,-0.02408783,0,34.62000000,4.10000000,-4.09000000,0,0.10892670,0.01290004,-0.01286858,0,Mass,0.089000,0.075000,-0.075000,0,,,,,1443.00,15.00,-28.00,0,0,<a refstr=FRAME_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1428F/abstract target=ref>Frame et al. 2023</a>,,5905.00,12.00,-12.00,0,1.260000,0.040000,-0.040000,0,1.120000,0.020000,-0.020000,0,0.1670,0.0100,-0.0410,0,[Fe/H],4.297000,0.021000,-0.021000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h21m39.89s,95.4162204,+11d15m05.93s,11.2516477,275.26500000,4.20400000,-4.08200000,11.1960000,0.0270000,-0.0270000,9.9330000,0.0230000,-0.0230000,11.2677000,0.0008100,-0.0008100,2023-05-26,2023-05,2023-05-26
TOI-251 b,TOI-251,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.93777000000,0.00002800000,-0.00002900000,0,0.0574100000,0.0002300000,-0.0001700000,0,2.74000000,0.18000000,-0.18000000,0,0.24444643,0.01605852,-0.01605852,0,317.83000000,,,1,1.00000000,,,1,Mass,0.000000,,,0,,,,,,,,,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,,5875.00,100.00,-190.00,0,0.881000,0.038000,-0.047000,0,1.036000,0.013000,-0.009000,0,-0.1060,0.0790,-0.0700,0,[Fe/H],4.560000,0.046000,-0.046000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,99.52300000,0.43740000,-0.43360000,9.8870000,0.0050000,-0.0050000,8.4260000,0.0270000,-0.0270000,9.7541100,0.0012770,-0.0012770,2020-12-10,2021-01,2020-12-17
TOI-2524 b,TOI-2524,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,7.18585000000,0.00001000000,-0.00001000000,0,0.0730000000,0.0007000000,-0.0007000000,0,11.20898070,0.22417961,-0.33626942,0,1.00000000,0.02000000,-0.03000000,0,203.41018048,12.71313628,-12.71313628,0,0.64000000,0.04000000,-0.04000000,0,Mass,0.000000,,,0,,,,,1100.00,20.00,-20.00,0,0,<a refstr=EBERHARDT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..271E/abstract target=ref>Eberhardt et al. 2023</a>,,5831.00,80.00,-80.00,0,1.119000,0.024000,-0.023000,0,1.007000,0.032000,-0.029000,0,0.0600,0.0500,-0.0500,0,[Fe/H],4.344000,0.026000,-0.025000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h43m32.84s,160.8868435,-01d54m45.71s,-1.9126984,438.84200000,8.17200000,-7.88500000,12.8000000,0.1030000,-0.1030000,11.1980000,0.0250000,-0.0250000,12.6225000,0.0001930,-0.0001930,2023-12-14,2023-12,2023-12-14
TOI-2525 b,TOI-2525,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,23.28560000000,0.00170000000,-0.00170000000,0,0.1511000000,0.0020000000,-0.0020000000,0,8.67575106,0.11208981,-0.11208981,0,0.77400000,0.01000000,-0.01000000,0,26.69758619,1.58914204,-1.58914204,0,0.08400000,0.00500000,-0.00500000,0,Mass,0.170000,0.011000,-0.010000,0,,,,,,,,,1,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,K8 V,5096.00,102.00,-102.00,0,0.785000,0.031000,-0.031000,0,0.849000,0.042000,-0.042000,0,0.1400,0.0500,-0.0500,0,[Fe/H],4.580000,0.200000,-0.200000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m24.23s,86.8509737,-60d31m16.71s,-60.5213081,395.39800000,2.25300000,-2.22900000,14.2160000,0.0920000,-0.0920000,11.9050000,0.0240000,-0.0240000,14.0120000,0.0002420,-0.0002420,2023-02-25,2023-02,2023-02-25
TOI-2525 c,TOI-2525,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,49.25190000000,0.00040000000,-0.00040000000,0,0.2490000000,0.0040000000,-0.0040000000,0,10.13291855,0.11208981,-0.11208981,0,0.90400000,0.01000000,-0.01000000,0,208.81326340,9.85268062,-10.17050902,0,0.65700000,0.03100000,-0.03200000,0,Mass,0.157000,0.008000,-0.007000,0,,,,,,,,,1,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,K8 V,5096.00,102.00,-102.00,0,0.785000,0.031000,-0.031000,0,0.849000,0.042000,-0.042000,0,0.1400,0.0500,-0.0500,0,[Fe/H],4.580000,0.200000,-0.200000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h47m24.23s,86.8509737,-60d31m16.71s,-60.5213081,395.39800000,2.25300000,-2.22900000,14.2160000,0.0920000,-0.0920000,11.9050000,0.0240000,-0.0240000,14.0120000,0.0002420,-0.0002420,2023-02-25,2023-02,2023-02-25
TOI-2529 b,TOI-2529,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=JONES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...683A.192J/abstract target=ref>Jones et al. 2024</a>,64.59490000000,0.00030000000,-0.00030000000,0,0.3270000000,0.0200000000,-0.0200000000,0,11.54525012,0.56044903,-0.56044903,0,1.03000000,0.05000000,-0.05000000,0,743.71847238,62.61219618,-61.97653937,0,2.34000000,0.19700000,-0.19500000,0,Mass,0.021000,0.024000,-0.015000,0,,,,,636.00,15.60,-15.70,0,0,<a refstr=JONES_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...683A.192J/abstract target=ref>Jones et al. 2024</a>,,5802.00,60.00,-52.00,0,1.700000,0.020000,-0.030000,0,1.110000,0.010000,-0.020000,0,0.1000,0.0300,-0.0300,0,[Fe/H],4.030000,0.010000,-0.010000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h55m58.69s,118.9945352,-52d21m17.40s,-52.3548332,296.27100000,4.28900000,-4.17000000,11.5290000,0.0180000,-0.0180000,9.4890000,0.0240000,-0.0240000,11.1911000,0.0007080,-0.0007080,2024-08-29,2024-03,2024-08-29
TOI-2537 b,TOI-2537,1,1,2,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HEIDARI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241208527H/abstract target=ref>Heidari et al. 2024</a>,94.10220000000,0.00110000000,-0.00110000000,0,0.3715000000,0.0077000000,-0.0080000000,0,11.25381662,0.66132986,-0.68374782,0,1.00400000,0.05900000,-0.06100000,0,415.40172795,28.92238504,-27.96889982,0,1.30700000,0.09100000,-0.08800000,0,Mass,0.364000,0.039000,-0.039000,0,,,,,338.00,14.00,-14.00,0,1,<a refstr=HEIDARI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241208527H/abstract target=ref>Heidari et al. 2024</a>,,4870.00,150.00,-150.00,0,0.771000,0.039000,-0.040000,0,0.771000,0.049000,-0.049000,0,0.0800,0.0790,-0.0800,0,[Fe/H],4.551000,0.049000,-0.048000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h37m33.18s,54.3882661,+10d03m27.89s,10.0577464,184.98600000,1.89900000,-1.86100000,13.2360000,0.0800000,-0.0800000,10.3870000,0.0210000,-0.0210000,12.7300000,0.0003770,-0.0003770,2025-03-03,2025-02,2025-03-03
TOI-2545 b,TOI-2545,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MANTOVAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2311M/abstract target=ref>Mantovan et al. 2022</a>,7.99403700000,,,0,,,,,2.75000000,,,0,0.24533899,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5846.29,115.05,-115.17,0,1.253240,0.051605,-0.059354,0,1.055000,0.139439,-0.114804,0,-0.2729,0.0669,-0.0669,0,[M/H],4.265250,0.088105,-0.055335,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h02m10.99s,135.5458029,-03d25m14.95s,-3.4208194,107.11800000,0.47400000,-0.47000000,9.5210000,0.0040000,-0.0040000,8.0600000,0.0200000,-0.0200000,9.2949000,0.0002280,-0.0002280,2022-10-03,2022-11,2022-10-03
TOI-2567 b,TOI-2567,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,5.98394400000,0.00001300000,-0.00001300000,0,0.0672000000,0.0024000000,-0.0012000000,0,10.92875618,0.34747840,-0.32506044,0,0.97500000,0.03100000,-0.02900000,0,63.88350981,10.80616584,-9.85268062,0,0.20100000,0.03400000,-0.03100000,0,Mass,0.000000,0.048000,-0.052000,0,558.0000,31.0000,-30.0000,0,1352.00,18.00,-19.00,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,,5611.00,62.00,-65.00,0,1.686000,0.043000,-0.044000,0,1.130000,0.130000,-0.059000,0,0.2410,0.0780,-0.0790,0,[Fe/H],4.044000,0.036000,-0.037000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h13m51.76s,288.4656683,+66d20m52.58s,66.3479375,504.77500000,5.21900000,-5.11500000,12.3000000,0.0460000,-0.0460000,10.7170000,0.0170000,-0.0170000,12.2213000,0.0002810,-0.0002810,2022-08-29,2022-08,2022-08-29
TOI-257 b,TOI-257,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.3704A/abstract target=ref>Addison et al. 2021</a>,18.38818000000,0.00085000000,-0.00084000000,0,0.1528000000,0.0016000000,-0.0017000000,0,7.16253867,0.14571675,-0.14571675,0,0.63900000,0.01300000,-0.01300000,0,43.86032017,7.31005336,-7.31005336,0,0.13800000,0.02300000,-0.02300000,0,Mass,0.000000,,,0,186.0000,14.0000,-12.0000,0,1027.00,18.00,-18.00,0,0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.3704A/abstract target=ref>Addison et al. 2021</a>,,6095.00,89.00,-89.00,0,1.867000,0.033000,-0.032000,0,1.407000,0.045000,-0.046000,0,0.1750,0.0990,-0.0980,0,[Fe/H],4.044000,0.021000,-0.021000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h10m04.14s,47.5172608,-50d49m56.15s,-50.8322632,76.90280000,0.19530000,-0.19430000,7.5700000,0.0300000,-0.0300000,6.2560000,0.0210000,-0.0210000,7.4165300,0.0002960,-0.0002960,2021-04-23,2021-04,2021-04-23
TOI-2570 b,TOI-2570,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,2.98876150000,0.00000220000,-0.00000220000,0,0.0414500000,0.0008100000,-0.0008600000,0,13.64132951,0.39231432,-0.38110534,0,1.21700000,0.03500000,-0.03400000,0,260.61929374,20.02318964,-20.65884645,0,0.82000000,0.06300000,-0.06500000,0,Mass,0.000000,0.048000,-0.052000,0,699.0000,48.0000,-44.0000,0,1431.00,24.00,-23.00,0,0,<a refstr=YEE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...70Y/abstract target=ref>Yee et al. 2022</a>,,5771.00,89.00,-87.00,0,1.095000,0.026000,-0.025000,0,1.063000,0.063000,-0.065000,0,0.1910,0.0830,-0.0830,0,[Fe/H],4.385000,0.030000,-0.031000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h48m45.13s,87.1880397,+32d05m02.56s,32.0840435,361.85700000,6.34900000,-6.13800000,12.5690000,0.0570000,-0.0570000,10.9050000,0.0200000,-0.0200000,12.4599000,0.0002390,-0.0002390,2022-08-29,2022-08,2022-08-29
TOI-2580 b,TOI-2580,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,3.39775000000,0.00000200000,-0.00000200000,0,0.0480000000,0.0030000000,-0.0030000000,0,17.37392009,0.56044903,-0.56044903,0,1.55000000,0.05000000,-0.05000000,0,200.23189641,25.42627256,-25.42627256,0,0.63000000,0.08000000,-0.08000000,0,Mass,0.080000,0.040000,-0.040000,0,1730.0000,130.0000,-130.0000,0,2410.00,60.00,-60.00,0,0,<a refstr=EHRHARDT_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...692A.220E/abstract target=ref>Ehrhardt et al. 2024</a>,F,6120.00,30.00,-30.00,0,1.810000,0.060000,-0.060000,0,1.330000,0.080000,-0.080000,0,0.2600,0.0600,-0.0600,0,[Fe/H],4.150000,0.090000,-0.090000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h08m47.81s,62.1992072,+67d06m59.50s,67.1165264,379.25300000,4.57100000,-4.46500000,11.4190000,0.0120000,-0.0120000,9.8770000,0.0200000,-0.0200000,11.2548000,0.0005350,-0.0005350,2025-01-22,2024-12,2025-01-22
TOI-2583 A b,TOI-2583 A,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.52072650000,0.00000490000,-0.00000490000,0,0.0571000000,0.0010000000,-0.0013000000,0,14.45958510,0.44835923,-0.36989636,0,1.29000000,0.04000000,-0.03300000,0,79.45710175,18.43404761,-17.79839079,0,0.25000000,0.05800000,-0.05600000,0,Mass,0.000000,,,0,750.9000,39.7000,-32.3000,0,1456.00,19.00,-16.00,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5936.00,65.00,-68.00,0,1.477000,0.036000,-0.032000,0,1.215000,0.063000,-0.082000,0,0.1580,0.0840,-0.0850,0,[Fe/H],4.184000,0.028000,-0.035000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h09m04.09s,272.2670293,+45d20m12.84s,45.3368996,566.18900000,6.47000000,-6.32800000,12.5860000,0.1500000,-0.1500000,11.2450000,,,12.4592000,0.0001680,-0.0001680,2023-02-27,2023-03,2023-02-27
TOI-2587 A b,TOI-2587 A,1,2,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,5.45664000000,0.00001100000,-0.00001100000,0,0.0635000000,0.0025000000,-0.0013000000,0,12.07207221,0.47077719,-0.44835923,0,1.07700000,0.04200000,-0.04000000,0,69.28659273,17.16273398,-14.62010672,0,0.21800000,0.05400000,-0.04600000,0,Mass,0.000000,,,0,728.0000,48.0000,-51.0000,0,1445.00,23.00,-26.00,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,5760.00,80.00,-79.00,0,1.726000,0.049000,-0.047000,0,1.150000,0.140000,-0.070000,0,0.1300,0.0900,-0.1000,0,[Fe/H],4.024000,0.057000,-0.039000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h43m43.61s,115.9317105,-01d04m24.00s,-1.0733330,373.67500000,5.95300000,-5.77200000,11.5440000,0.0250000,-0.0250000,9.9910000,0.0230000,-0.0230000,11.4079000,0.0006960,-0.0006960,2023-02-27,2023-03,2023-02-27
